PlanId,PlanType,MetalLevel,PlanVariantMarketingName,Asthma Management Program,Depression Management Program,Diabetes Management Program,Heart Disease Management Program,High Blood Pressure & High Cholesterol Management Program,Low Back Pain Management Program,Pain Management Program,Pregnancy Management Program,Weight Loss Management Program
12379FL0010004-06,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010006-02,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010006-03,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010007-00,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010007-01,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010007-02,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010007-03,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010008-00,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010008-01,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010008-02,EPO,Expanded Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010008-03,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010009-00,EPO,Catastrophic,Catastrophic,1,0,1,1,0,0,0,0,0
12379FL0010009-01,EPO,Catastrophic,Catastrophic,1,0,1,1,0,0,0,0,0
12379FL0010011-01,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010011-02,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010011-03,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010012-00,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010012-01,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010012-02,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010012-03,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010012-04,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010012-05,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010012-06,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010013-00,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010013-01,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010013-02,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010013-03,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010013-04,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010013-05,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010013-06,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010014-00,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010014-01,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010014-02,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010014-03,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010014-04,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010014-05,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010014-06,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010016-00,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010016-01,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010016-02,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010016-03,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010017-00,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010017-01,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010017-02,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010017-03,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010018-00,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010018-01,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010018-02,EPO,Expanded Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010018-03,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010019-00,EPO,Catastrophic,Catastrophic,1,0,1,1,0,0,0,0,0
12379FL0010019-01,EPO,Catastrophic,Catastrophic,1,0,1,1,0,0,0,0,0
12379FL0010021-01,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010021-02,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010021-03,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010022-00,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010022-01,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010022-02,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010023-00,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010023-01,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010033-04,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010033-05,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010033-06,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010034-00,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010034-01,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010034-02,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
16842FL0070100-04,EPO,Silver,BlueOptions Silver 1431,1,1,1,1,1,0,1,1,0
16842FL0070100-03,EPO,Silver,BlueOptions Silver 1431,1,1,1,1,1,0,1,1,0
16842FL0070100-00,EPO,Silver,BlueOptions Silver 1431,1,1,1,1,1,0,1,1,0
16842FL0070102-00,EPO,Platinum,BlueOptions Platinum 1418,1,1,1,1,1,0,1,1,0
12379FL0010023-02,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010023-03,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010023-04,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010023-05,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010023-06,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010024-00,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010024-01,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010024-02,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010024-03,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010024-04,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010024-05,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010024-06,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010026-00,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010026-01,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010026-02,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010026-03,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010027-00,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010027-01,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010027-02,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010027-03,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010028-00,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010028-01,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010028-02,EPO,Expanded Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010028-03,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010029-00,EPO,Catastrophic,Catastrophic,1,0,1,1,0,0,0,0,0
12379FL0010029-01,EPO,Catastrophic,Catastrophic,1,0,1,1,0,0,0,0,0
12379FL0010031-01,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010031-02,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010031-03,EPO,Gold,Gold,1,0,1,1,0,0,0,0,0
12379FL0010032-00,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010032-01,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010032-02,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010032-03,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010032-04,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010032-05,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010032-06,EPO,Silver,Silver 1,1,0,1,1,0,0,0,0,0
12379FL0010033-00,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010033-01,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010033-02,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010033-03,EPO,Silver,Silver 2,1,0,1,1,0,0,0,0,0
12379FL0010034-03,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010034-04,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010034-05,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010034-06,EPO,Silver,Silver 3,1,0,1,1,0,0,0,0,0
12379FL0010036-00,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010036-01,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010036-02,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010036-03,EPO,Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010037-00,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010037-01,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010037-02,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010037-03,EPO,Expanded Bronze,Bronze Premier,1,0,1,1,0,0,0,0,0
12379FL0010038-00,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010038-01,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010038-02,EPO,Expanded Bronze,Bronze,1,0,1,1,0,0,0,0,0
12379FL0010038-03,EPO,Expanded Bronze,Bronze HSA,1,0,1,1,0,0,0,0,0
12379FL0010039-00,EPO,Catastrophic,Catastrophic,1,0,1,1,0,0,0,0,0
12379FL0010039-01,EPO,Catastrophic,Catastrophic,1,0,1,1,0,0,0,0,0
15833FL0120003-00,HMO,Low,Managed DentalGuard FL Essentials 1,0,0,0,0,0,0,0,0,0
15833FL0120003-01,HMO,Low,Managed DentalGuard FL Essentials 1,0,0,0,0,0,0,0,0,0
15833FL0130001-01,PPO,Low,Guardian Essentials for Families and Individuals,0,0,0,0,0,0,0,0,0
15833FL0130001-00,PPO,Low,Guardian Essentials for Families and Individuals,0,0,0,0,0,0,0,0,0
15833FL0140001-00,PPO,Low,Guardian Select for Families and Individuals,0,0,0,0,0,0,0,0,0
15833FL0140001-01,PPO,Low,Guardian Select for Families and Individuals,0,0,0,0,0,0,0,0,0
15833FL0150001-01,PPO,Low,Guardian Basics for Families and Individuals,0,0,0,0,0,0,0,0,0
15833FL0150001-00,PPO,Low,Guardian Basics for Families and Individuals,0,0,0,0,0,0,0,0,0
15980FL0160003-01,PPO,Low,Humana Dental Smart Choice,0,0,0,0,0,0,0,0,0
16842FL0070073-00,EPO,Silver,BlueOptions Silver 1423,1,1,1,1,1,0,1,1,0
16842FL0070073-05,EPO,Silver,BlueOptions Silver 1423,1,1,1,1,1,0,1,1,0
16842FL0070073-03,EPO,Silver,BlueOptions Silver 1423,1,1,1,1,1,0,1,1,0
16842FL0070073-06,EPO,Silver,BlueOptions Silver 1423,1,1,1,1,1,0,1,1,0
16842FL0070073-01,EPO,Silver,BlueOptions Silver 1423,1,1,1,1,1,0,1,1,0
16842FL0070073-02,EPO,Silver,BlueOptions Silver 1423,1,1,1,1,1,0,1,1,0
16842FL0070073-04,EPO,Silver,BlueOptions Silver 1423,1,1,1,1,1,0,1,1,0
16842FL0070084-01,EPO,Bronze,BlueOptions Bronze 1419,1,1,1,1,1,0,1,1,0
16842FL0070084-02,EPO,Bronze,BlueOptions Bronze 1419,1,1,1,1,1,0,1,1,0
16842FL0070084-00,EPO,Bronze,BlueOptions Bronze 1419,1,1,1,1,1,0,1,1,0
16842FL0070084-03,EPO,Bronze,BlueOptions Bronze 1419,1,1,1,1,1,0,1,1,0
16842FL0070100-06,EPO,Silver,BlueOptions Silver 1431,1,1,1,1,1,0,1,1,0
16842FL0070100-01,EPO,Silver,BlueOptions Silver 1431,1,1,1,1,1,0,1,1,0
16842FL0070100-05,EPO,Silver,BlueOptions Silver 1431,1,1,1,1,1,0,1,1,0
16842FL0070100-02,EPO,Silver,BlueOptions Silver 1431,1,1,1,1,1,0,1,1,0
16842FL0070102-02,EPO,Platinum,BlueOptions Platinum 1418,1,1,1,1,1,0,1,1,0
16842FL0070102-03,EPO,Platinum,BlueOptions Platinum 1418,1,1,1,1,1,0,1,1,0
16842FL0070124-02,EPO,Silver,BlueOptions Silver 1706S,1,1,1,1,1,0,1,1,0
16842FL0070124-00,EPO,Silver,BlueOptions Silver 1706S,1,1,1,1,1,0,1,1,0
16842FL0120062-01,EPO,Platinum,BlueSelect Platinum 1451,1,1,1,1,1,0,1,1,0
16842FL0120086-01,EPO,Gold,BlueSelect Gold 1835,1,1,1,1,1,0,1,1,0
17121FL0020003-00,PPO,High,BEST Dental Advantage - Gold,0,0,0,0,0,0,0,0,0
17121FL0020003-01,PPO,High,BEST Dental Advantage - Gold,0,0,0,0,0,0,0,0,0
17121FL0020004-00,PPO,High,BEST Dental Plus - Gold,0,0,0,0,0,0,0,0,0
17121FL0020004-01,PPO,High,BEST Dental Plus - Gold,0,0,0,0,0,0,0,0,0
17121FL0020005-00,PPO,Low,BEST Dental Plus - Silver,0,0,0,0,0,0,0,0,0
17121FL0020005-01,PPO,Low,BEST Dental Plus - Silver,0,0,0,0,0,0,0,0,0
16842FL0070102-01,EPO,Platinum,BlueOptions Platinum 1418,1,1,1,1,1,0,1,1,0
16842FL0070108-02,EPO,Expanded Bronze,BlueOptions Bronze 1416,1,1,1,1,1,0,1,1,0
16842FL0070108-03,EPO,Expanded Bronze,BlueOptions Bronze 1416,1,1,1,1,1,0,1,1,0
16842FL0070108-00,EPO,Expanded Bronze,BlueOptions Bronze 1416,1,1,1,1,1,0,1,1,0
16842FL0070108-01,EPO,Expanded Bronze,BlueOptions Bronze 1416,1,1,1,1,1,0,1,1,0
16842FL0070110-03,EPO,Platinum,BlueOptions Platinum 1424,1,1,1,1,1,0,1,1,0
16842FL0070110-02,EPO,Platinum,BlueOptions Platinum 1424,1,1,1,1,1,0,1,1,0
16842FL0070110-01,EPO,Platinum,BlueOptions Platinum 1424,1,1,1,1,1,0,1,1,0
16842FL0070110-00,EPO,Platinum,BlueOptions Platinum 1424,1,1,1,1,1,0,1,1,0
16842FL0070114-03,EPO,Silver,BlueOptions Silver 1410,1,1,1,1,1,0,1,1,0
16842FL0070114-01,EPO,Silver,BlueOptions Silver 1410,1,1,1,1,1,0,1,1,0
16842FL0070114-06,EPO,Silver,BlueOptions Silver 1410,1,1,1,1,1,0,1,1,0
16842FL0070114-00,EPO,Silver,BlueOptions Silver 1410,1,1,1,1,1,0,1,1,0
16842FL0070114-02,EPO,Silver,BlueOptions Silver 1410,1,1,1,1,1,0,1,1,0
16842FL0070114-05,EPO,Silver,BlueOptions Silver 1410,1,1,1,1,1,0,1,1,0
16842FL0070114-04,EPO,Silver,BlueOptions Silver 1410,1,1,1,1,1,0,1,1,0
16842FL0070120-02,EPO,Gold,BlueOptions Gold 1505,1,1,1,1,1,0,1,1,0
16842FL0070120-01,EPO,Gold,BlueOptions Gold 1505,1,1,1,1,1,0,1,1,0
16842FL0070120-00,EPO,Gold,BlueOptions Gold 1505,1,1,1,1,1,0,1,1,0
16842FL0070120-03,EPO,Gold,BlueOptions Gold 1505,1,1,1,1,1,0,1,1,0
16842FL0070122-03,EPO,Expanded Bronze,BlueOptions Bronze 1705,1,1,1,1,1,0,1,1,0
16842FL0070122-02,EPO,Expanded Bronze,BlueOptions Bronze 1705,1,1,1,1,1,0,1,1,0
16842FL0070122-01,EPO,Expanded Bronze,BlueOptions Bronze (HSA) 1705,1,1,1,1,1,0,1,1,0
16842FL0070122-00,EPO,Expanded Bronze,BlueOptions Bronze (HSA) 1705,1,1,1,1,1,0,1,1,0
16842FL0070124-05,EPO,Silver,BlueOptions Silver 1706S,1,1,1,1,1,0,1,1,0
16842FL0070124-06,EPO,Silver,BlueOptions Silver 1706S,1,1,1,1,1,0,1,1,0
16842FL0070124-03,EPO,Silver,BlueOptions Silver 1706S,1,1,1,1,1,0,1,1,0
16842FL0070124-04,EPO,Silver,BlueOptions Silver 1706S,1,1,1,1,1,0,1,1,0
16842FL0070124-01,EPO,Silver,BlueOptions Silver 1706S,1,1,1,1,1,0,1,1,0
16842FL0070126-02,EPO,Expanded Bronze,BlueOptions Bronze 1707S,1,1,1,1,1,0,1,1,0
16842FL0070126-03,EPO,Expanded Bronze,BlueOptions Bronze 1707S,1,1,1,1,1,0,1,1,0
16842FL0070126-00,EPO,Expanded Bronze,BlueOptions Bronze 1707S,1,1,1,1,1,0,1,1,0
16842FL0070126-01,EPO,Expanded Bronze,BlueOptions Bronze 1707S,1,1,1,1,1,0,1,1,0
16842FL0070130-02,EPO,Gold,BlueOptions Gold 1805,1,1,1,1,1,0,1,1,0
16842FL0070130-03,EPO,Gold,BlueOptions Gold 1805,1,1,1,1,1,0,1,1,0
16842FL0070130-00,EPO,Gold,BlueOptions Gold 1805,1,1,1,1,1,0,1,1,0
16842FL0070130-01,EPO,Gold,BlueOptions Gold 1805,1,1,1,1,1,0,1,1,0
16842FL0120033-04,EPO,Silver,BlueSelect Silver 1456,1,1,1,1,1,0,1,1,0
16842FL0120033-05,EPO,Silver,BlueSelect Silver 1456,1,1,1,1,1,0,1,1,0
16842FL0120033-02,EPO,Silver,BlueSelect Silver 1456,1,1,1,1,1,0,1,1,0
16842FL0120033-01,EPO,Silver,BlueSelect Silver 1456,1,1,1,1,1,0,1,1,0
16842FL0120033-06,EPO,Silver,BlueSelect Silver 1456,1,1,1,1,1,0,1,1,0
16842FL0120033-00,EPO,Silver,BlueSelect Silver 1456,1,1,1,1,1,0,1,1,0
16842FL0120033-03,EPO,Silver,BlueSelect Silver 1456,1,1,1,1,1,0,1,1,0
16842FL0120044-02,EPO,Bronze,BlueSelect Bronze 1452,1,1,1,1,1,0,1,1,0
16842FL0120044-00,EPO,Bronze,BlueSelect Bronze 1452,1,1,1,1,1,0,1,1,0
16842FL0120044-01,EPO,Bronze,BlueSelect Bronze 1452,1,1,1,1,1,0,1,1,0
16842FL0120044-03,EPO,Bronze,BlueSelect Bronze 1452,1,1,1,1,1,0,1,1,0
16842FL0120060-02,EPO,Silver,BlueSelect Silver 1464,1,1,1,1,1,0,1,1,0
16842FL0120060-03,EPO,Silver,BlueSelect Silver 1464,1,1,1,1,1,0,1,1,0
16842FL0120060-00,EPO,Silver,BlueSelect Silver 1464,1,1,1,1,1,0,1,1,0
16842FL0120060-05,EPO,Silver,BlueSelect Silver 1464,1,1,1,1,1,0,1,1,0
16842FL0120060-01,EPO,Silver,BlueSelect Silver 1464,1,1,1,1,1,0,1,1,0
16842FL0120060-06,EPO,Silver,BlueSelect Silver 1464,1,1,1,1,1,0,1,1,0
16842FL0120060-04,EPO,Silver,BlueSelect Silver 1464,1,1,1,1,1,0,1,1,0
16842FL0120062-03,EPO,Platinum,BlueSelect Platinum 1451,1,1,1,1,1,0,1,1,0
16842FL0120062-00,EPO,Platinum,BlueSelect Platinum 1451,1,1,1,1,1,0,1,1,0
16842FL0120062-02,EPO,Platinum,BlueSelect Platinum 1451,1,1,1,1,1,0,1,1,0
16842FL0120068-03,EPO,Expanded Bronze,BlueSelect Bronze 1449,1,1,1,1,1,0,1,1,0
16842FL0120068-01,EPO,Expanded Bronze,BlueSelect Bronze 1449,1,1,1,1,1,0,1,1,0
16842FL0120068-00,EPO,Expanded Bronze,BlueSelect Bronze 1449,1,1,1,1,1,0,1,1,0
16842FL0120068-02,EPO,Expanded Bronze,BlueSelect Bronze 1449,1,1,1,1,1,0,1,1,0
16842FL0120070-01,EPO,Platinum,BlueSelect Platinum 1457,1,1,1,1,1,0,1,1,0
16842FL0120070-03,EPO,Platinum,BlueSelect Platinum 1457,1,1,1,1,1,0,1,1,0
16842FL0120070-00,EPO,Platinum,BlueSelect Platinum 1457,1,1,1,1,1,0,1,1,0
16842FL0120070-02,EPO,Platinum,BlueSelect Platinum 1457,1,1,1,1,1,0,1,1,0
16842FL0120072-00,EPO,Silver,BlueSelect Silver 1443,1,1,1,1,1,0,1,1,0
16842FL0120072-03,EPO,Silver,BlueSelect Silver 1443,1,1,1,1,1,0,1,1,0
16842FL0120072-01,EPO,Silver,BlueSelect Silver 1443,1,1,1,1,1,0,1,1,0
16842FL0120072-05,EPO,Silver,BlueSelect Silver 1443,1,1,1,1,1,0,1,1,0
16842FL0120072-04,EPO,Silver,BlueSelect Silver 1443,1,1,1,1,1,0,1,1,0
16842FL0120072-06,EPO,Silver,BlueSelect Silver 1443,1,1,1,1,1,0,1,1,0
16842FL0120072-02,EPO,Silver,BlueSelect Silver 1443,1,1,1,1,1,0,1,1,0
16842FL0120076-01,EPO,Gold,BlueSelect Gold 1535,1,1,1,1,1,0,1,1,0
16842FL0120076-03,EPO,Gold,BlueSelect Gold 1535,1,1,1,1,1,0,1,1,0
16842FL0120076-00,EPO,Gold,BlueSelect Gold 1535,1,1,1,1,1,0,1,1,0
16842FL0120076-02,EPO,Gold,BlueSelect Gold 1535,1,1,1,1,1,0,1,1,0
16842FL0120078-03,EPO,Expanded Bronze,BlueSelect Bronze 1735,1,1,1,1,1,0,1,1,0
16842FL0120078-01,EPO,Expanded Bronze,BlueSelect Bronze (HSA) 1735,1,1,1,1,1,0,1,1,0
16842FL0120078-02,EPO,Expanded Bronze,BlueSelect Bronze 1735,1,1,1,1,1,0,1,1,0
16842FL0120078-00,EPO,Expanded Bronze,BlueSelect Bronze (HSA) 1735,1,1,1,1,1,0,1,1,0
16842FL0120080-02,EPO,Silver,BlueSelect Silver 1736S,1,1,1,1,1,0,1,1,0
16842FL0120080-04,EPO,Silver,BlueSelect Silver 1736S,1,1,1,1,1,0,1,1,0
16842FL0120080-00,EPO,Silver,BlueSelect Silver 1736S,1,1,1,1,1,0,1,1,0
16842FL0120080-01,EPO,Silver,BlueSelect Silver 1736S,1,1,1,1,1,0,1,1,0
16842FL0120080-06,EPO,Silver,BlueSelect Silver 1736S,1,1,1,1,1,0,1,1,0
16842FL0120080-05,EPO,Silver,BlueSelect Silver 1736S,1,1,1,1,1,0,1,1,0
16842FL0120080-03,EPO,Silver,BlueSelect Silver 1736S,1,1,1,1,1,0,1,1,0
16842FL0120082-02,EPO,Expanded Bronze,BlueSelect Bronze 1737S,1,1,1,1,1,0,1,1,0
16842FL0120082-03,EPO,Expanded Bronze,BlueSelect Bronze 1737S,1,1,1,1,1,0,1,1,0
16842FL0120082-01,EPO,Expanded Bronze,BlueSelect Bronze 1737S,1,1,1,1,1,0,1,1,0
16842FL0120082-00,EPO,Expanded Bronze,BlueSelect Bronze 1737S,1,1,1,1,1,0,1,1,0
16842FL0120086-02,EPO,Gold,BlueSelect Gold 1835,1,1,1,1,1,0,1,1,0
16842FL0120086-00,EPO,Gold,BlueSelect Gold 1835,1,1,1,1,1,0,1,1,0
16842FL0120086-03,EPO,Gold,BlueSelect Gold 1835,1,1,1,1,1,0,1,1,0
17121FL0020006-00,PPO,Low,BEST Dental Basic - Silver,0,0,0,0,0,0,0,0,0
17121FL0020006-01,PPO,Low,BEST Dental Basic - Silver,0,0,0,0,0,0,0,0,0
21663FL0130002-04,EPO,Silver,Ambetter Balanced Care 1 (2020),1,0,1,1,1,1,0,0,0
21663FL0130002-03,EPO,Silver,Ambetter Balanced Care 1 (2020),1,0,1,1,1,1,0,0,0
21663FL0130002-02,EPO,Silver,Ambetter Balanced Care 1 (2020),1,0,1,1,1,1,0,0,0
