State,Issuer_Name,Issuer_ID,Is_Issuer_New_to_Exchange? (Yes_or_No),Plan_ID,URL_Claims_Payment_Policies,Issuer_Claims_Received,Issuer_Claims_Denials,Issuer_Internal_Appeals_Filed,Issuer_Number_Internal_Appeals_Overturned,Issuer_Percent_Internal_Appeals_Overturned,Issuer_External_Appeals_Filed,Issuer_Number_External_Appeals_Overturned,Issuer_Percent_External_Appeals_Overturned,Plan_Number_Claims_Received,Plan_Number_Claims_Denied,Plan_Number_Claims_Denied_Referral_Required,Plan_Number_Claims_Denied_Out_of_Network,Plan_Number_Claims_Denied_Services_Excluded,Plan_Number_Claims_Denied_Not_Medically_Necessary_Excl_Behavioral_Health,Plan_Number_Claims_Denied_Not_Medically_Necessary_Incl_Behavioral_Health,Plan_Number_Claims_Denied_Other,Rate_Review,Financial_Information,Enrollment_Data,Disenrollment_Data
AK,BEST Life and Health Insurance Company,74819,No,74819AK0020003,http://www.bestlife.com/ak/index.html,578,270,**,**,**,**,**,**,116,46,**,**,19,**,N/A,19,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=90638&:refresh,115,47
AK,BEST Life and Health Insurance Company,74819,No,74819AK0020004,http://www.bestlife.com/ak/index.html,578,270,**,**,**,**,**,**,76,37,**,**,19,**,N/A,**,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=90638&:refresh,36,26
AK,BEST Life and Health Insurance Company,74819,No,74819AK0020005,http://www.bestlife.com/ak/index.html,578,270,**,**,**,**,**,**,36,17,**,**,12,**,N/A,**,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=90638&:refresh,32,21
AK,BEST Life and Health Insurance Company,74819,No,74819AK0020006,http://www.bestlife.com/ak/index.html,578,270,**,**,**,**,**,**,350,170,**,**,119,**,N/A,40,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=90638&:refresh,355,226
AL,"Dental Care Plus, Inc.",18239,Yes,18239AL0010003,http://files.dentalcareplus.com/exchange/Transparency-2020.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,Missing URL,N/A,N/A
AL,"Dental Care Plus, Inc.",18239,Yes,18239AL0010001,http://files.dentalcareplus.com/exchange/Transparency-2020.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,Missing URL,N/A,N/A
AL,"Dental Care Plus, Inc.",18239,Yes,18239AL0010002,http://files.dentalcareplus.com/exchange/Transparency-2020.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,Missing URL,N/A,N/A
AL,"Dental Care Plus, Inc.",18239,Yes,18239AL0010004,http://files.dentalcareplus.com/exchange/Transparency-2020.pdf,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,Missing URL,N/A,N/A
AL,Renaissance Life & Health Insurance Company of America,28725,Yes,28725AL0130002,https://renadental.wpengine.com/affordable-care-act-coverage/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=61700&:refresh,N/A,N/A
AL,Renaissance Life & Health Insurance Company of America,28725,Yes,28725AL0130001,https://renadental.wpengine.com/affordable-care-act-coverage/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=61700&:refresh,N/A,N/A
AL,Renaissance Life & Health Insurance Company of America,28725,Yes,28725AL0110001,https://renadental.wpengine.com/affordable-care-act-coverage/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=61700&:refresh,N/A,N/A
AL,Renaissance Life & Health Insurance Company of America,28725,Yes,28725AL0110002,https://renadental.wpengine.com/affordable-care-act-coverage/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=61700&:refresh,N/A,N/A
AL,TRUASSURE INSURANCE COMPANY,60075,No,60075AL0010001,www.truassure.com/aca-plans,1023,139,**,**,**,**,**,**,111,15,**,**,**,**,N/A,**,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=92525&:refresh,121,120
AL,TRUASSURE INSURANCE COMPANY,60075,No,60075AL0020001,www.truassure.com/aca-plans,1023,139,**,**,**,**,**,**,912,124,**,**,**,**,N/A,**,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=92525&:refresh,685,535
AL,"Bright Health Insurance Company of Alabama, Inc.",73301,No,73301AL0020001,https://brighthealthplan.com/individual-and-family/resource/transparency-of-coverage,21635,3961,**,**,**,**,**,**,615,138,61,**,17,**,**,60,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,***,***
AL,"Bright Health Insurance Company of Alabama, Inc.",73301,No,73301AL0020003,https://brighthealthplan.com/individual-and-family/resource/transparency-of-coverage,21635,3961,**,**,**,**,**,**,8837,1453,171,983,427,**,24,899,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,582,60
AL,"Bright Health Insurance Company of Alabama, Inc.",73301,No,73301AL0020004,https://brighthealthplan.com/individual-and-family/resource/transparency-of-coverage,21635,3961,**,**,**,**,**,**,209,93,**,50,**,**,**,91,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,***,12
AL,"Bright Health Insurance Company of Alabama, Inc.",73301,No,73301AL0020006,https://brighthealthplan.com/individual-and-family/resource/transparency-of-coverage,21635,3961,**,**,**,**,**,**,1084,179,16,189,87,**,**,85,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,93,***
AL,"Bright Health Insurance Company of Alabama, Inc.",73301,No,73301AL0020009,https://brighthealthplan.com/individual-and-family/resource/transparency-of-coverage,21635,3961,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,N/A,N/A
AL,"Bright Health Insurance Company of Alabama, Inc.",73301,No,73301AL0020010,https://brighthealthplan.com/individual-and-family/resource/transparency-of-coverage,21635,3961,**,**,**,**,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=16102&:refresh,N/A,N/A
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0370001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,198587,38758,1672,2056,7765,651,33,16248,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,4543,745
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0410001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,1499798,302322,9386,11556,56197,4379,133,121640,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,36595,5214
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0560001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,141697,33570,731,4702,5673,454,21,13804,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,9393,2193
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0460001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,148354,33288,938,4375,6075,381,**,12957,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,7917,1129
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0470001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,24813,7359,133,823,947,68,11,2723,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,1582,1349
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0650001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,223683,46131,3542,4833,9204,608,32,19040,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,6149,606
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0660001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,3547776,734457,51369,74919,146436,9726,383,304749,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,106792,13555
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0500001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,24089,6837,**,208,3018,**,N/A,3981,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,18584,5920
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0280001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,1545,340,**,16,27,**,**,180,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,*,*
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0340001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,2812,711,12,32,62,**,**,422,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,*,*
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0380001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,3417,796,**,46,122,**,**,379,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,*,*
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0430001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,60,21,**,**,**,**,**,**,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,*,*
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0670001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,N/A,N/A
AL,Blue Cross and Blue Shield of Alabama,46944,No,46944AL0680001,https://www.bcbsal.org/web/public/portal/claims-payment-policy-other-information.html,5816631,1204590,7009,1787,25.5%,220,23,10.5%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=55433&:refresh,N/A,N/A
AL,Delta Dental Insurance Company,82285,No,82285AL0010004,https://www.deltadentalins.com/hcx/how-your-marketplace-plan-works.html,4828,3572,**,**,**,**,**,**,4055,1173,30,*,353,**,N/A,835,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=81396&:refresh,942,647
AL,Delta Dental Insurance Company,82285,No,82285AL0010006,https://www.deltadentalins.com/hcx/how-your-marketplace-plan-works.html,4828,3572,**,**,**,**,**,**,8548,2381,78,*,1347,**,N/A,1034,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=81396&:refresh,3127,1625
AL,BEST Life and Health Insurance Company,12538,No,12538AL0020003,http://www.bestlife.com/al/index.html,5647,2524,**,**,**,**,**,**,1019,439,**,**,206,**,N/A,103,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=90638&:refresh,837,600
AL,BEST Life and Health Insurance Company,12538,No,12538AL0020004,http://www.bestlife.com/al/index.html,5647,2524,**,**,**,**,**,**,698,285,**,**,131,**,N/A,62,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=90638&:refresh,807,672
AL,BEST Life and Health Insurance Company,12538,No,12538AL0020005,http://www.bestlife.com/al/index.html,5647,2524,**,**,**,**,**,**,561,265,**,**,170,**,N/A,45,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=90638&:refresh,705,708
AL,BEST Life and Health Insurance Company,12538,No,12538AL0020006,http://www.bestlife.com/al/index.html,5647,2524,**,**,**,**,**,**,3369,1535,**,53,862,**,N/A,290,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=90638&:refresh,4053,3566
AL,Humana Insurance Company,44580,No,44580AL0380001,https://www.humana.com/member/plain-language-policy,6989,3151,**,**,**,**,**,**,5586,2627,**,**,1792,11,N/A,824,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=73288&:refresh,7388,5701
AL,Humana Insurance Company,44580,No,44580AL0380002,https://www.humana.com/member/plain-language-policy,6989,3151,**,**,**,**,**,**,1403,524,**,**,215,26,N/A,283,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=73288&:refresh,1589,805
AR,Celtic Insurance Company,62141,No,62141AR0100007,https://ambetter.arhealthwellness.com/resources/handbooks-forms/transparency-notice-2020.html ,3048249,540482,825,235,28.5%,24,16,66.7%,8116,1438,297,**,**,**,**,1140,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,209,67
AR,Celtic Insurance Company,62141,No,62141AR0080008,https://ambetter.arhealthwellness.com/resources/handbooks-forms/transparency-notice-2020.html ,3048249,540482,825,235,28.5%,24,16,66.7%,353643,60695,9988,100,**,109,**,50497,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,10090,2036
AR,Celtic Insurance Company,62141,No,62141AR0080007,https://ambetter.arhealthwellness.com/resources/handbooks-forms/transparency-notice-2020.html ,3048249,540482,825,235,28.5%,24,16,66.7%,2233280,400585,60667,179,**,1629,254,337857,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,526,105
AR,Celtic Insurance Company,62141,No,62141AR0080101,https://ambetter.arhealthwellness.com/resources/handbooks-forms/transparency-notice-2020.html ,3048249,540482,825,235,28.5%,24,16,66.7%,312482,56985,10276,58,**,92,**,46551,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,10366,1390
AR,Celtic Insurance Company,62141,No,62141AR0100008,https://ambetter.arhealthwellness.com/resources/handbooks-forms/transparency-notice-2020.html ,3048249,540482,825,235,28.5%,24,16,66.7%,74566,12869,2247,21,**,43,**,10557,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,2202,612
AR,Celtic Insurance Company,62141,No,62141AR0080005,https://ambetter.arhealthwellness.com/resources/handbooks-forms/transparency-notice-2020.html ,3048249,540482,825,235,28.5%,24,16,66.7%,66162,7910,1228,**,**,**,**,6668,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=80799&:refresh,3620,1024
AR,"QualChoice Life & Health Insurance Company, Inc.",37903,No,37903AR0070025,https://www.qualchoice.com/already-a-member/affordable-care-act-individual-plans,559994,92765,71,13,18.3%,33,**,**,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=70998&:refresh,N/A,N/A
AR,"QCA Health Plan, Inc.",70525,No,70525AR0070261,https://www.qualchoice.com/already-a-member/affordable-care-act-individual-plans,571445,93792,106,43,40.6%,45,13,28.9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=95448&:refresh,N/A,N/A
AR,USAble Mutual Insurance Company,75293,No,75293AR1230001,https://www.arkansasbluecross.com/members/individual-and-family/member-rights/transparency-in-coverage,7168160,989183,6848,2959,43.2%,20,**,**,45,**,**,**,**,**,N/A,**,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,***,***
AR,USAble Mutual Insurance Company,75293,No,75293AR1230002,https://www.arkansasbluecross.com/members/individual-and-family/member-rights/transparency-in-coverage,7168160,989183,6848,2959,43.2%,20,**,**,7607,2117,**,**,824,**,N/A,1093,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,2745,1733
AR,USAble Mutual Insurance Company,75293,No,75293AR1230003,https://www.arkansasbluecross.com/members/individual-and-family/member-rights/transparency-in-coverage,7168160,989183,6848,2959,43.2%,20,**,**,2784,493,**,**,315,**,N/A,178,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,***,***
AR,USAble Mutual Insurance Company,75293,No,75293AR1230004,https://www.arkansasbluecross.com/members/individual-and-family/member-rights/transparency-in-coverage,7168160,989183,6848,2959,43.2%,20,**,**,3516,546,**,**,373,**,N/A,173,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,1033,566
AR,USAble Mutual Insurance Company,75293,No,75293AR1200003,https://www.arkansasbluecross.com/members/individual-and-family/member-rights/transparency-in-coverage,7168160,989183,6848,2959,43.2%,20,**,**,40702,3082,361,576,108,25,**,2344,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,6581,2038
AR,USAble Mutual Insurance Company,75293,No,75293AR1200003,https://www.arkansasbluecross.com/members/individual-and-family/member-rights/transparency-in-coverage,7168160,989183,6848,2959,43.2%,20,**,**,96,14,**,11,**,**,**,**,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,6581,2038
AR,USAble Mutual Insurance Company,75293,No,75293AR1200003,https://www.arkansasbluecross.com/members/individual-and-family/member-rights/transparency-in-coverage,7168160,989183,6848,2959,43.2%,20,**,**,26,**,**,**,**,**,**,**,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,6581,2038
AR,USAble Mutual Insurance Company,75293,No,75293AR1200003,https://www.arkansasbluecross.com/members/individual-and-family/member-rights/transparency-in-coverage,7168160,989183,6848,2959,43.2%,20,**,**,15498,1242,198,210,42,13,**,963,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,6581,2038
AR,USAble Mutual Insurance Company,75293,No,75293AR1200003,https://www.arkansasbluecross.com/members/individual-and-family/member-rights/transparency-in-coverage,7168160,989183,6848,2959,43.2%,20,**,**,18625,1477,211,244,42,21,**,1166,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,6581,2038
AR,USAble Mutual Insurance Company,75293,No,75293AR1200003,https://www.arkansasbluecross.com/members/individual-and-family/member-rights/transparency-in-coverage,7168160,989183,6848,2959,43.2%,20,**,**,10229,831,111,201,27,**,**,584,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,6581,2038
AR,USAble Mutual Insurance Company,75293,No,75293AR1200003,https://www.arkansasbluecross.com/members/individual-and-family/member-rights/transparency-in-coverage,7168160,989183,6848,2959,43.2%,20,**,**,62922,18683,7658,**,**,**,**,11022,https://ratereview.healthcare.gov/,https://www.naic.org/cis_refined_results.htm?TABLEAU=CIS_FINANCIAL&COCODE=83470&:refresh,6581,2038
